tours,reviews,company,describtion,price
4 Hour ATV Rental Nassau Bahamas,3 , J & S Scooter ATV's Chasing Charters,"Excited to see the city of Nassau but would like to do so solo, no problem. J&S gives you the freedom of riding the streets of New Providence as a lone soldier! Make the stops you find interesting. Stay as long... read more ",SAR 787.55 
Taxi and Tour Services,No , Sharon Lloyd,"We are known for providing the best in transportation services. Whether you need a taxi ride home, to the hotel, downtown or a taxi ride to one of our local restaurants, we are here to make sure you get where you... read more ",SAR 37.50 
Shared Departure Transfer: Hotel to Freeport Harbours International...,No , NexusTours,Forget paying excessive taxi cab fares. Ensure peace of mind by booking your Freeport Harbour  airport transfer in advance.  Start with a pickup from your Freeport Harbour hotel and travel to Freeport... read more ,SAR 56.25 
Shared Arrival Transfer: Freeport International Airport to Hotel,No , NexusTours,"When you arrive at Freeport International Airport, don't get bogged down with rental cars and maps. Take the easy way, by booking this speedy airport transfer service!  Enjoy convenient transport from the... read more ",SAR 52.50 
Shared Departure Transfer: Hotel to Freeport International Airport,No , NexusTours,Forget paying excessive taxi cab fares. Ensure peace of mind by booking your Freeport airport transfer in advance.  Start with a pickup from your Freeport hotel and travel to Freeport International Airport in... read more ,SAR 52.50 
Shared Departure Transfer: Hotel to Nassau International Airport,No , NexusTours,Forget paying excessive taxi cab fares. Ensure peace of mind by booking your Nassau airport transfer in advance. Start with a pickup from your Nassau hotel and travel to Nassau International Airport in the... read more ,SAR 108.76 
Shared Arrival Transfer: Freeport Harbour International Airport to...,No , NexusTours,"When you arrive at Freeport International Airport, don't get bogged down with rental cars and maps. Take the easy way, by booking this speedy airport transfer service!   Enjoy convenient transport... read more ",SAR 56.25 
Transfer in Private Minivan from Nassau Airport to Nassau Island,1 , MY TRANSFER GROUP,"Book a private transfer from the Airport to your hotel or destination, service guaranteed once you make the booking. We will provide all information necessary to meet your driver at arrival. • Meet and greet •... read more ",SAR 330.92 
Grum Ma's Cultural Center Admission and Tour,No , Grum Ma's House Cultural Center,Enjoy admission and a tour at Grum Ma's Cultural center during this activity in Freeport. Learn about native Bahamian culture through presentations and artifacts representing the history and traditions of the... read more ,SAR 142.51 
Dash and Dine by Bus,No , Bowcar Jeep/Buggy & Scooters Rentals & Guided Tours,"Short on time? This air-conditioned bus tour gives you the advantage of seeing various points around the island, while sampling the local foods/drinks with the option to purchase souvenirs to take with you.",SAR 262.52 
Transportation,No , Platinum Limo & Taxi Services,"We provide luxury, medium tier and economic transportation options for our clients to chose from. Our fleet includes Limos, Town Cars, SUVs and Minivans that are well maintained and comfortable.We offer free wifi... read more ",SAR 281.27 
Learn to Cook Like a Bahamian,No , Learn to Cook like a Bahamian,Our final destination is a private outdoor kitchen and dining area that is completely private and secluded. The only access will be to the guest on the door.,SAR 281.27 
Mamma Gal Island Hoping Experience,1 , C Bevans Taxi and Tours,Explore the rural communities of east Grand Bahama on a half-day excursion from Freeport with stops at Lightbourne's Cay and Sweeting's Cay. Try your hand at line fishing and learn fun facts about the Bahamas from... read more ,SAR 618.79 
"Blue hole snorkeling, and turtle park",5 , Fran's Travel Tour & Limo Service,"Spend a day on the water on this four-part tour around the waters of Grand Bahama. First, snorkel over blue holes, then listen as your guide takes you on a wildlife tour to spot sharks, stingrays, starfish, sea... read more ",SAR 468.78 
Clifton National Park 4hr 6 seater Buggy Rental (Free: Snacks...,No , C&C Scooter Rentals (BAH),"Rent a 2018 Can-Am Defender Max 1000(6 passenger) Buggy and explore Clifton Heritage National Park 200+ acres of land. Experience Culture, Revisit History, Explore Nature & Enjoy leisure. Home to the remains of... read more ","SAR 1,312.58 "
RUM N' TING - MIXING & DRINKING THE TOP BAHAMIAN RUM COCKTAILS WITH...,No , Goombay House Cooking Class Studio,"Learn how to make the perfect Bahamian cocktail during this mixology class in Nassau. With an experienced bartender and mixologist to guide you, learn how to combine the flavors of the islands in perfectly balanced... read more ",SAR 219.39 
Food & Rum Cultural Walking Tour,2 , Ultimate Tours Bahamas,Enjoy a full rum and food tour enough food to fill your belly and enough rum for your liver to thank us. This is a 3 hour food and rum cultural walking tour of Nassau. On this tour you will taste your way through... read more ,SAR 273.77 
Parasailing,1 , Sunshine Cruises,Enjoy the exquisite Bahamian scenery of Nassau & Paradise Island from 400 feet above the sea on this parasail adventure. You'll fly tandem with another guest as you both enjoy the panorama of breathtaking waters... read more ,SAR 281.27 
Round-Trip Transfer in Private Minivan from-to Nassau Airport in...,No , MY TRANSFER GROUP,"Book a round trip private transfer from/to Airport to your destination, service guaranteed once you make the booking. We will provide all information necessary to meet your driver at hotel or destination. • Meet and... read more ",SAR 661.84 
Grand Bahama Pig Beach Ferry with pick-up,1 , US2U Inc. Sightseeing & Beach Weddings,- enjoy tge optional visit of Pig Beach during this tour ($85 surcharge payable on the ferry)- take a day trip to the Bahamas from Miami/Fort Lauderdale- enjoy free transportation from any Miami Beach hotel along... read more ,SAR 832.55 
Glass Bottom & BananaBoat - Family Package,No , Bahama Joy Ride & Snorkeling Adventures,This will be the only tour that we are offering for families & friends in a bundle. The tour is both children & elderly friendly. Why not enjoy three activities with the ones that you love. The Glass Bottom... read more ,"SAR 2,062.62 "
Native Rum Tasting and Distillery Tour,5 , Tours of A Lifetime,"Get an insider's peek at the rum-making process during this Nassau rum tasting and distillery tour. Follow your guide on a historical walking tour of the distillery grounds and see how Bahamian rum is produced, from... read more ",SAR 180.01 
Tasty Food Tour,1 , K.V. Bus & Charter Services,"This tour is unique because you get the opportunity to dine like a local and enjoy the native, Bahamian cuisine and try our famous locally brewed beer Kalik! This tour is great for couples and all members of the... read more ",SAR 296.27 
Sweeting's Cay Day Trip from Freeport,No , Fran's Travel Tour & Limo Service,Make the most of limited time in Freeport with a stress-free day trip to the tiny island of Sweetings Cay. Enjoy easy transportation to Grand Bahama’s East End in an air-conditioned minivan and board a boat to... read more ,SAR 407.20 
Chauffeuring & taxi services,No , Paul Mcphee,"We provide reliable, affordable SUVs chauffeuring services. Airport pick up to and from any destination point during your stay in Nassau,Bahamas",SAR 262.52 
Private Arrival Transfer from Nassau Bahamas Cruise Terminal to Hotel...,1 , Servantrip,"By booking with us, you will get:• Up to 6 people by car, including luggage (6 handbags and 6 suitcases)• Fixed price without hidden rates• Certified local professionals• Best adapted 24/7 customer supportFull... read more ",SAR 277.21 
Happy Hour Bim - Its a Friday Evening....,No , Goombay House Cooking Class Studio,"Spend happy hour in the Bahamas in a guide’s private home, learning to mix cocktails. Munch on snacks as you follow along to some delicious tropical drink recipes, and be sure to try your creations after you’ve... read more ",SAR 187.51 
"CONCH & KALIK - CITY TOUR, TASTING & COOKING WITH TWO LOCAL FAVORITES",No , Goombay House Cooking Class Studio,This culinary tour centers around one of the most important items in Bahamian cuisine: the queen conch. Watch vendors pull conch from the shell (a process called conch cracking) and sample traditional conch salad.... read more ,SAR 371.27 
Bahamas Get-A-Round Bus Pass,3 , H. Forbes Charter Services,"Discover Freeport at your own pace with a Get-A-Round bus pass that makes transportation simple when you arrive on Grand Bahama. Browse shops at the International Bazaar, stroll the Port Lucaya Marketplace then get... read more ",SAR 187.47 
4 Hour Scooter Rental Nassau Bahamas,No , J & S Scooter ATV's Chasing Charters,"Excited to see the city of Nassau but would like to do so solo, no problem. J&S gives you the freedom of riding the streets of New Providence as a lone soldier! Make the stops you find interesting. Stay as long... read more ",SAR 337.52 
get to visit the 3 local factories on the island and enjoys day of...,No ," Land, Sand & Sea Tours","On this excursion, we get to visit the 3 local factories on the island. The perfume factory (30mins), candle factory(30mins) then the brewery factory(1 hour). Guests get to see and sample products made by each of... read more ",SAR 431.28 
Kids Cook Too,No , Goombay House Cooking Class Studio,"Enjoy a relaxing afternoon away from the kids, while they take part in this hands-on, interactive cooking class. Under the watchful eye of a chef during this educational and delicious cooking workshop, they’ll learn... read more ",SAR 187.51 
Private Departure Transfer from Nasau Hotel to Nassau Bahamas Cruise...,No , Servantrip,"By booking with us when travelling you will get:• Up to 6 people by car, including luggage (6 handbags and 6 suitcases)• Fixed price without hidden rates• Certified local professionals• Best adapted 24/7 customer... read more ",SAR 277.21 
Cigar Demo and Rum Tasting at Graycliff Cigar Company,No , Graycliff Chocolatier,"Discover the art, science, and history of cigars on a 1.5-hour tour of Graycliff Cigar Company in Nassau. Learn to sort, clean, store, and roll a cigar like Graycliff’s torcedors, or professional cigar rollers, get... read more ",SAR 630.04 
Tasty Rythm and Rock Tour,1 , Bahamas A Sus Ordenes,"This tour gives you a Real Bahamian Experience in your own language. Tastes, sights and the overall rhythm of the Island is felt throughout the tour. It is an unforgettable Cultural explosion!Join us and you won't... read more ",SAR 300.02 
Private Arrival Transfer: Freeport International Airport to Hotels (1...,No , NexusTours,"For a hassle-free way to begin your vacation or business trip in Freeport, book a private airport arrival transfer.  Avoid public transportation or long taxi lines with this convenient, door-to-door... read more ",SAR 176.26 
Private Departure Transfer: Hotel to Freeport International Airport...,No , NexusTours,"For a hassle-free way to begin your vacation or business trip in Freeport, book a private airport departur transfer.  Avoid public transportation or long taxi lines with this convenient, door-to-door... read more ",SAR 176.26 
Intimate & Fun-Filled Tour of Nassau - Includes an Authentic Bahamian...,No , TourVaana,"Come share our bliss on this intimate and fun-filled tour of Nassau, Bahamas, which includes an authentic Bahamian Lunch! View many of Nassau’s must-see historical and cultural attractions in a 2 hour tour that... read more ",SAR 300.02 
Bottom Reef Fishing,1 , Reef Tours Ltd.,"This tour is for the fish addicts. The Bottom Fishing Excursion offers guest the opportunity to be on vacation and still do what they love, ""Fishing'! Guest will enjoy a 3-hour guided boat tour that includes the rod... read more ",SAR 315.02 
Conch Salad Cooking Lesson and Tasting in Nassau,2 , Bahamian Hospitality,Taste your way into Bahamian culture with a conch salad cooking lesson in Nassau. Visit a local-approved conch stand on the bay and learn how to prepare authentic Bahamian conch salad from start to finish. See how... read more ,SAR 243.76 
Shared Round-Trip Transfer: Nassau International Airport,1 , NexusTours,"Pre-book your transfers to and from Nassau International Airport and enjoy a hassle- free transportation!   Plan ahead and book your Nassau round-trip airport transfer in advance to enjoy a convenient,... read more ",SAR 213.76 
Dubai City Tour with Lunch in Atlantis the Palm,No , Sougat Travel & Tours,"Explore the trip of Dubai activities .Experience the exotic day with the Dubai diary which exploers glittering evening views of the Dubai,Dubaicity covering the Dubai museum towering, Glamorous shopping malls,... read more ",SAR 937.56 
5 Star Day Escape,No , Bahamian Hospitality,"Get away from the frenetic energy of the marketplace and port area and relax in the classy, serene backdrop at the Graycliff. In the heart of old Nassau is a historic, colonial mansion that offers an elegant and... read more ","SAR 1,031.31 "
Bonefish Pond National Park Kayaking Tour and Fritter Making Lesson,1 , Ultimate Tours Bahamas,"Combine two quintessential Bahamian activities in one tour: go kayaking in Bonefish Pond National Park and learn how to make traditional fritters. With an outdoor guide in the lead, get off the beaten path to... read more ",SAR 416.27 
Cigar Demo and Rum Tasting at Graycliff Cigar Company,No , Graycliff Chocolatier,"Discover the art, science, and history of cigars on a 1.5-hour tour of Graycliff Cigar Company in Nassau. Learn to sort, clean, store, and roll a cigar like Graycliff’s torcedors, or professional cigar rollers, get... read more ",SAR 630.04 
Half-Day 38ft Private Charter in Nassau,22 , Reel Dreams Sport Fishing Charters,"Take to the water—and plan your own itinerary—when you embark on a half-day, private boat charter from Nassau. Pick from morning or afternoon departure times, meet your captain, and hop aboard the 38-foot (12-meter)... read more ","SAR 3,000.18 "
Myles Munroe Legacy Tour,No , Myles Munroe Tour,"This tour is very unique, as it depicts the life of a Great Bahamian. This is the first tour of its kind in the Bahamas. Dr. Myles Munroe, O.B.E., who was tragically killed in an air plane crash while on his way to... read more ",SAR 206.26 
Hello welcome to my island,No , Jason Culmer,Because I love what I do providing service with a smile to my guest that I cherish so much..........................,SAR 150.01 
Sweeting's Cay Day Trip from Freeport,No , Fran's Travel Tour & Limo Service,Make the most of limited time in Freeport with a stress-free day trip to the tiny island of Sweetings Cay. Enjoy easy transportation to Grand Bahama’s East End in an air-conditioned minivan and board a boat to... read more ,SAR 407.20 
Airport Transfers,No , Island Girls Taxi and Tours,Unique transportation with a courteous and competent friendly drivers that take pride in offering great customer experience,SAR 168.76 
"Private Speedboat Charter to Rose Island, Bahamas",1 , Blue Wave Charters,Our tours are unique because we offer amenities and an experience that does not compare. We focus on providing exemplary customer service as well as ensuring our guests create memories they will never forget. You... read more ,"SAR 4,031.49 "
Tipsy Tours,No , Tipsy Tours,Tipsy Tours is a fun filled and excited way to have tours without the bore. Enjoy our delicious alcohol or non-alcoholic bahamian beverages while you explore different locations in the island of Nassau.,SAR 243.76 
Swimming with the turtles,No , Bluefinn242,"This trip begins with a brief harbour tour with historical sights, a fifteen minute cruise over to green cay or what’s better known as turtle island where you will get to snorkel and interact with a variety of local... read more ",SAR 468.78 
Nassau Shore Excursion: Shark Diving Adventure,4 ,No company,"Get up close to Caribbean reef sharks on this thrilling, half-day shore excursion. After your cruise ship arrives in Nassau, set off to begin your 2-tank dive. Enjoy a ‘free swim’ with sharks on one of Barbados’... read more ",SAR 806.45 
Half-Day Private Boat Charter,No , Tyto Tours,"Whether you want to cruise the harbor and surrounding islands, hop off at a private beach, or experience spectacular snorkeling, we’ve got you covered. Take it all in – all on your own time.","SAR 3,712.72 "
Nassau Cooking Demonstration and Lunch at Graycliff Restaurant,No , Graycliff Chocolatier,Watch a Bahamian cooking demonstration and learn about the Bahamas' culinary traditions on this tour to the Graycliff Restaurant. Watch the Executive Chef in one of the Caribbean's only 5-star restaurants prepare a... read more ,SAR 658.16 
Private Round-Trip Transfer: Nassau International Airport (1 - 5),No , NexusTours,Pre-book your private transfers to and from Nassau International Airport and enjoy a hassle- free transportation!    Plan ahead and book your Nassau round-trip private airport transfer in advance to... read more ,"SAR 1,672.60 "
Cigar Rolling Lesson and Wine Blending Class,No , Bahamian Hospitality,"Remember your time in the Bahamas with your own unique wine blend, corked and labeled by you as well as a cigar rolled with your very own hands. Leave your vacation with more than just a few t-shirts, keychains, or... read more ","SAR 1,593.84 "
THE ORIGINAL BAHAMIAN LOCAL FOOD TOUR,No , Rockstar Tours Bahamas,"Our Signature Tour!This walking food tour through our capital city will enlighten you with some of the great stories of The Bahamas, and expose you to many of the foods beloved by the locals.Excite your palate with... read more ",SAR 168.76 
"Overnight Day Trip to Bimini, Bahamas with Transport",1 , Gray Line Miami Tours,"From your Miami hotel, our state-of-the-art coach will pick you up and transfer you to Port Everglades to step off the mainland and onto our high-speed 650-passenger, modern, comfortable 81 meter vessel that will... read more ",SAR 830.67 
Private Half-Day Fishing Charter in Nassau,1 , Born Free Fishing Charters,"Spend a luxurious half day out on the water, and practice your fishing skills, on this private boat charter. Meet at the port, and hop aboard your 38-foot (12-meter) yacht. Depending on your interests, you can try... read more ","SAR 2,812.67 "
Private Round-Trip Luxury Transfer: Nassau International Airport (1...,No , NexusTours,Pre-book your private luxury transfers to and from Nassau International Airport and enjoy a hassle- free transportation!    Plan ahead and book your Nassau round-trip private luxury airport transfer... read more ,"SAR 2,025.12 "
Private Round-Trip Transfer: Nassau International Airport (1 - 6),No , NexusTours,Pre-book your private transfers to and from Nassau International Airport and enjoy a hassle- free transportation!    Plan ahead and book your Nassau round-trip private airport transfer in advance to... read more ,"SAR 2,111.37 "
Miami: Bimini Beach Day Trip by Ferry,No , US2U Inc. Sightseeing & Beach Weddings,"Embark on a day trip to the turquoise waters and white beaches of the Bahamas. Enjoy the quick ca. 2 hour voyage on our fast ferry with seats, restrooms and air conditioning. Enjoy the beautiful Bimini beach.",SAR 821.30 
2 Hour Scooter Rental Nassau Bahamas,No , J & S Scooter ATV's Chasing Charters,"Excited to see the city of Nassau but would like to do so solo, no problem. J&S gives you the freedom of riding the streets of New Providence as a lone soldier! Make the stops you find interesting. Stay as long... read more ",SAR 311.27 
Nassau 2 Hour Buggy Adventure,No , J & S Scooter ATV's Chasing Charters,Nothing beats a vacation in paradise like a vacation in paradise aboard a topless buggy! Talk about hype! Island life is an absolute breath of fresh air but more so when you are free aboard a vehicle that allows you... read more ,SAR 618.79 
Nassau Private Nature Charter,1 , Pushin Tin Charters,"Charter a private boat off the southeastern coast of Nassau. On this 2-hour private tour with an experienced nature guide, explore the rich biodiversity of the mangrove forest, where native plant and animal life... read more ","SAR 3,000.18 "
Private Half-Day Fishing Charter in Nassau,1 , Born Free Fishing Charters,"Experience a 4-hour private fishing charter on a 48-foot Chris-Craft boat that is catered to your interests! Experience deep sea fishing on the ocean's edge, light tackle fishing over shallow reefs, snorkeling at... read more ","SAR 3,187.69 "
Refresh Yoga Tour,No , Rockstar Tours Bahamas,"This Refresh Yoga Tour is a great get away to Paradise Island. One day yoga tour let you meditate, relaxation of body and breathing exercise. This tour package is also favorable for those who seek for a refreshment... read more ",SAR 375.02 
Big Bus Private Tour (minimum of 15),1 , Bahtours,Choose from 30 different activities to do on the island. We will then help you• Create an itinerary that reflects the needs and desires of your group• Maximize the allotted four-hour time. Or if you can't decide... read more ,SAR 146.26 
Exuma Swimming Pigs Day Excursion,2 , Harbour Safaris,"Our tour will take you on a wonderful journey through the Beautiful Exuma Cays to spend time with the Famous Swimming Pigs. We will meet our endangered Bahamian Rock Iguanas, and after an amazing lunch, you will... read more ","SAR 1,496.34 "
Reel Vibez Bahamas,No , Ricardo Woods,We are a recently opened Bahamian owned business. That caters to a wide variety of water sport activities. We’re dedicated to serving you and we strive to always keep our customers happy,SAR 675.04 
Nassau Shore Excursion: Bob Marley Resort with transfers & lunch,No ,No company,"Spend your port time in Nassau enjoying the amenities at the former vacation home of reggae singer Bob Marley. Now a luxury boutique resort, the Marley Resort and Spa features a prime oceanfront location on Cable... read more ",SAR 524.15 
Hudson's Tours,1 , Hudson's Tours,"Hudson Tours are the epitome of a friendly, informative and enjoyable Island Life Experience Extravaganza! We are different from every other tour services providers in The Bahamas because you can book us online or... read more ",SAR 150.01 
ManKap Beach Experience,No , Tesla City Tours,Exclusive transportation provided by Tesla City ToursWow Day Pass at Sea Breeze Vacation VillasLunch at MadKap Restaurant & BarSnorklingBeach Access Chairs and Towel,SAR 450.03 
Private Round-Trip Luxury Transfer: Freeport International Airport (1...,No , NexusTours,Pre-book your private luxury transfers to and from Freeport International Airport and enjoy a hassle- free transportation!    Plan ahead and book your Nassau round-trip private luxury airport... read more ,"SAR 2,208.88 "
PinkSandy Beach 2day/1Night Allinclusive Getaway to Eleuthera...,No , Ashley Gibson Sr.,Most guest that plan a trip to Nassau will be seeing a major city.Most guest like to combine the Bahamas city experience with a mini trip to see a tropical quiet Bahamian Island.Guest also like to see the... read more ,"SAR 2,437.64 "
Half-Day Private Nassau City Tour,No , Bahamian Hospitality,Benefit from personalized attention and a flexible itinerary on this private half-day tour of Nassau. Get to know the Bahamian capital at your own pace with a customized itinerary focused on the places and... read more ,"SAR 1,968.87 "
Bus for a Day (Shore Excursion) $450 price per vehicle up to 8 hours,No , Bahtours,Choose from 30 different activities to do on the island. We will then help you• Create an itinerary that reflects the needs and desires of your group• Maximize the allotted full eight-hour tour time• Most of the... read more ,"SAR 1,687.60 "
Sweeting's Cay Day Trip from Freeport,No , Fran's Travel Tour & Limo Service,"Get access to a private beach on Sweeting's Cay to kayak, fish, bike, and explore on this full-day trip from Freeport. Travel via boat to the cay, where you can choose your own activities or just relax on the sand.... read more ",SAR 411.77 
Ride like an islander in a Jeep Wrangler 4 Hr Rental Cruise Port...,No , J & S Scooter ATV's Chasing Charters,When you've got family and friends joining you on your trip to Paradise there is no other mode of transport that gives you an intoxicating experience even in commute other than the Jeep Wrangler. J&S provides a... read more ,SAR 937.56 
Vacation Photographer in Bahamas,No , Localgrapher,Localgrapher is the largest network of professional photographers and videographers with more than 600 destinations around the globe! Book your private photographer and guide in Bahamas to capture your... read more ,SAR 909.62 
8 Hour ATV Rental Nassau Bahamas,No , J & S Scooter ATV's Chasing Charters,"Excited to see the city of Nassau but would like to do so solo, no problem. J&S gives you the freedom of riding the streets of New Providence as a lone soldier! Make the stops you find interesting. Stay as long... read more ","SAR 1,050.06 "
Polaris Sportsman 450cc ATV Rentals,No , Bowcar Jeep/Buggy & Scooters Rentals & Guided Tours,Experience Nassau on a Polaris Sportsman 450 cc automatic ATV.,"SAR 1,050.06 "
"Clifton National Park Buggy Tour (Beach Break, Lunch & Free Tropical...",No , C&C Scooter Rentals (BAH),"Explore Clifton Heritage National Park on the western tip of Nassau on a buggy tour. With three passengers per buggy, you'll see historical and cultural sites while learning about the Lucayan villages, plantations,... read more ",SAR 731.29 
State Of The Art Virtual Reality Experiences,No , PlayCity VR Bahamas,We offer a state of the art virtual reality experience! The attractions we offer are within a range of more than 30 including adrenaline pumping roller-coaster style rides and interactive gaming experiences.,SAR 56.25 
Clifton National Park 4hr 6 seater Buggy Rental (Free: Snacks...,No , C&C Scooter Rentals (BAH),"Rent a 2018 Can-Am Defender Max 1000(6 passenger) Buggy and explore Clifton Heritage National Park 200+ acres of land. Experience Culture, Revisit History, Explore Nature & Enjoy leisure. Home to the remains of... read more ","SAR 1,312.58 "
Private Arrival Transfer: Freeport International Airport to Hotels (5...,No , NexusTours,"For a hassle-free way to begin your vacation or business trip in Freeport, book a private airport arrival transfer.  Avoid public transportation or long taxi lines with this convenient, door-to-door... read more ",SAR 528.78 
Private Departure Transfer: Hotel to Freeport International Airport...,No , NexusTours,"For a stress-free airport departure transfer, book this private one-way transportation service from your Freeport hotel to Freeport International Airport. This efficient and hassle-free transfer picks you up... read more ",SAR 528.78 
Freeport Snorkeling and Catamaran Cruise to Peterson Cay National Park,12 , Reef Oasis Dive Club,"Snorkel through turquoise waters off Grand Bahama's coast during this 3-hour snorkeling tour from Freeport. Board a comfortable catamaran for trip to Peterson Cay National Park, then jump into the calm, shallow... read more ",SAR 247.81 
Dis We Culture Tour,No , Richie's Transportation Services,"Immerse yourself in ancient and modern Bahamian culture during this private tour. You'll have a guide dedicated to you and your party, who will share commentary about the islands' history as you travel. Round-trip... read more ",SAR 450.03 
Half Day- Let's Go Shelling,No , Bayside Explorers,"This is Bayside Explorers' signature excursion. This excursion, as the name suggests, affords individuals the opportunity to discover exquisite treasures of the eastern shores. You or your shelling group will be... read more ","SAR 1,575.09 "
Sunset cruises,No , Bluefinn242,"Relax and unwind as you experience a sightseeing cruise throughout Nassau harbor and along the western coastline to Sandyport, as you watch a beautiful sunset and sip on either wine or champagne with a cheese... read more ","SAR 1,875.11 "
"Tiki Harbor Cruise ( Beach Break, Lunch & Free Alcohol with Rum Cake...",No , Crusin' Tikis Nassau,"Cruise around in shorts, flip flops or your bikini and be the envy of everyone as you party on this 6 passenger floating Tiki bar! Feel the ocean breeze on your face while listening to your favorite tunes with Mixed... read more ",SAR 746.29 
Airport Transfer,4 , Luxton Ace,"Arrive Nassau and be welcomed by Luxton Ace staff. Your driver would await your arrival at Sir Lynden Pindling Airport, Jet Aviation, Odyssey, Cruise ship arrival or any other private FBO. At the arrival the Lead... read more ",SAR 581.28 
A Bahamas Sailing Adventure!,No , Trouvaille Travel,"Our goal for this adventure is to provide you with a Caribbean sailing experience that will stay in your memories and your heart for the rest of our life ~ and even encourage you to do it again! This very special,... read more ","SAR 12,822.19 "
65 ft Motor Yacht Snorkel Charter,1 , First Strike Charters,"Live like royalty on your next Bahamian adventure with this private yacht charter, complete with a full crew and captain. You and your group will head out to sea aboard the Triotn, a 65-foot-long motor yacht with a... read more ","SAR 5,062.80 "
Private Photo Session with a Local Photographer in Nassau,No , Localgrapher,Want to capture your amazing honeymoon? Family vacation while the kids are still little? Your perfect couples retreat from everyday busy life? A solo trip without asking strangers to take pictures of you? Stop... read more ,SAR 909.62 
Hop on a 4 hour Island Buggy right from the Nassau Cruise Port or...,No , J & S Scooter ATV's Chasing Charters,Nothing beats a vacation in paradise like a vacation in paradise aboard a topless buggy! Talk about hype! Island life is an absolute breath of fresh air but more so when you are free aboard a vehicle that allows you... read more ,SAR 896.30 
Yacht Charter,No , Executive Yacht Charters,Executive Yacht Charters is all about creating the most magical experience for our clients. Over the last five years we have arrange hundreds of charters all over the Bahamas and the Caribbean. We are a team of... read more ,"SAR 28,314.16 "
Private 60ft Luxury Yacht to Swimming Pigs Exuma Bahamas from Nassau,No , Hidden Beaches,"Enjoy a one-of-a-kind Bahamas outing on this private yacht tour: you’ll be traveling to Pig Beach, where you can swim with the wild pigs that famously call the island home. Depart from Paradise Island in the... read more ","SAR 33,751.98 "
"Swim with Pigs in Meeks Patch, North Eleuthera, Bahamas",No , Fanta Sea Island Charters,"Come join us and enjoy the comfort and exclusivity of having your own private boat tour. We traverse the tranquil waters of North Eleuthera and Meeks Patch, located just 49 miles away from Nassau, to Swim with the... read more ","SAR 11,250.66 "
Boat Wreck and Reef Snorkling Eco-Tour,1 , West End Ecology Tours,"Spend a day snorkeling off the coast of the Bahamas during this small group excursion from Freeport, a tour with special appeal for nature lovers. Board a boat and cruise to Grand Bahama’s West End, stopping to... read more ",SAR 971.31 
Swimming Pigs in Bahamas,No , Bahamas To-Do,"Ready for Your Swimming Pigs Adventure Tour? If you're staying in Nassau or The Exumas, you can easily book a day trip to see the swimming pigs. Your adventure includes a boat tour through The Exuma Cays.",SAR 896.30 
Topless 8 Hour Buggy Ride,2 , J & S Scooter ATV's Chasing Charters,Nothing beats a vacation in paradise like a vacation in paradise aboard a topless buggy! Talk about hype! Island life is an absolute breath of fresh air but more so when you are free aboard a vehicle that allows you... read more ,"SAR 1,125.07 "
Private Half-Day Fishing Charter in Nassau 34ft,2 , Born Free Fishing Charters,"Benefit from personalized attention and a customized itinerary on this private fishing charter from Nassau. Spend the entire day in the company of an experienced captain, who will give you a much guidance as you... read more ","SAR 3,000.18 "
Wine Blending Class with Wine Tasting and Chocolate Factory Tour,No , Bahamian Hospitality,"Both considered aphrodisiacs and contain antioxidants, wine and chocolate have a few similarities to each other. This package offers a tour of the chocolate factory, wine tasting and a wine blending class. After its... read more ",SAR 656.29 
Nassau Cooking Demonstration and Lunch at Graycliff Restaurant,No , Graycliff Chocolatier,Watch a Bahamian cooking demonstration and learn about the Bahamas' culinary traditions on this tour to the Graycliff Restaurant. Watch the Executive Chef in one of the Caribbean's only 5-star restaurants prepare a... read more ,SAR 658.16 
Reel Vibez Bahamas,No , Ricardo Woods,We are a recently opened Bahamian owned business. That caters to a wide variety of water sport activities. We’re dedicated to serving you and we strive to always keep our customers happy,SAR 675.04 
Private Half-Day Fishing Charter in Nassau,1 , Born Free Fishing Charters,"Spend a luxurious half day out on the water, and practice your fishing skills, on this private boat charter. Meet at the port, and hop aboard your 38-foot (12-meter) yacht. Depending on your interests, you can try... read more ","SAR 2,812.67 "
Scooter Rental Services in Bahamas,No , Bahamas To-Do,"We provide the freedom you want with perfectly maintained scooters for rent to deliver an easy, safe, and friendly rental experiences for all who ride with us.",SAR 703.17 
Private Round-Trip Transfer: Freeport International Airport (3 - 4),No , NexusTours,Pre-book your private transfers to and from Freeport International Airport and enjoy a hassle- free transportation!    Plan ahead and book your Nassau round-trip private airport transfer in advance to... read more ,SAR 708.79 
"Private Speedboat Charter to Rose Island, Bahamas",1 , Blue Wave Charters,Our tours are unique because we offer amenities and an experience that does not compare. We focus on providing exemplary customer service as well as ensuring our guests create memories they will never forget. You... read more ,"SAR 4,031.49 "
Private 60ft Luxury Yacht to Swimming Pigs Exuma Bahamas from Nassau,No , Hidden Beaches,"Enjoy a one-of-a-kind Bahamas outing on this private yacht tour: you’ll be traveling to Pig Beach, where you can swim with the wild pigs that famously call the island home. Depart from Paradise Island in the... read more ","SAR 33,751.98 "
Private Nassau Island Highlights Tour,No , Bahamian Hospitality,"Explore Nassau on a personalized excursion in an air-conditioned luxury vehicle, and visit three locations of your choice. Opt to see the city’s highlights or customize the itinerary according to your personal... read more ",SAR 750.04 
